id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Concrete Kingdom,Ridge Mercer,hip hop,confident,0.78,95,0.62,0.85,0.12
12,Winter Sonata,AmelieRousseau,classical,melancholic,0.24,68,0.33,0.19,0.95
13,Island Time,Coral Roots,reggae,uplifting,0.61,90,0.83,0.76,0.34
14,Grandfather's Porch,The Hollow Pines,folk,nostalgic,0.39,101,0.54,0.44,0.88
15,Ironclad,Blackforge,metal,aggressive,0.96,164,0.28,0.46,0.03
16,Neon Cathedral,Pulsewidth,edm,euphoric,0.95,128,0.74,0.92,0.02
17,Velvet Hours,Marlo Sage,r&b,romantic,0.49,72,0.67,0.71,0.31
18,Dust on the Highway,Cody Reyes,country,wistful,0.47,96,0.51,0.53,0.66
